myo,timestamp,orientation.w,orientation.x,orientation.y,orientation.z,accelerometer.x,accelerometer.y,accelerometer.z,gyroscope.x,gyroscope.y,gyroscope.z
0,"808053045694",0.20123291015625,-0.12689208984375,-0.56781005859375,0.78802490234375,0.06298828125,-1.251953125,0.0576171875,-52.5625,-50.375,115.0625
0,"808053046557",0.17474365234375,-0.1329345703125,-0.5760498046875,0.787353515625,-0.04345703125,-1.2666015625,-0.04638671875,-58.375,-67.9375,132
0,"808053067509",0.1435546875,-0.1383056640625,-0.5855712890625,0.78570556640625,-0.0634765625,-1.21923828125,-0.107421875,-70,-87.0625,149.625
0,"808053082709",0.109375,-0.142822265625,-0.59600830078125,0.7825927734375,-0.10546875,-1.234375,-0.1640625,-80.25,-101.25,158.4375
0,"808053105561",0.071044921875,-0.1455078125,-0.60748291015625,0.77764892578125,-0.17333984375,-1.14501953125,-0.23681640625,-93.375,-122.9375,168.875
0,"808053120034",0.032958984375,-0.14697265625,-0.62054443359375,0.76959228515625,-0.11083984375,-1.0595703125,-0.259765625,-110.8125,-125.875,162.625
0,"808053142525",-0.00506591796875,-0.14569091796875,-0.6348876953125,0.75872802734375,-0.06494140625,-1.10107421875,-0.4599609375,-123.0625,-136,152.5
0,"808053157715",-0.04315185546875,-0.14190673828125,-0.650634765625,0.7447509765625,-0.10986328125,-1.166015625,-0.32275390625,-143.9375,-144.6875,143
0,"808053180008",-0.08160400390625,-0.13446044921875,-0.66668701171875,0.728515625,-0.07177734375,-1.0810546875,-0.357421875,-155.125,-159.6875,132.375
0,"808053202512",-0.1209716796875,-0.1236572265625,-0.68145751953125,0.71112060546875,-0.107421875,-1.1025390625,-0.48681640625,-155.125,-177.9375,124.875
0,"808053225778",-0.1595458984375,-0.1080322265625,-0.69647216796875,0.6912841796875,-0.0400390625,-1.10302734375,-0.515625,-168.875,-193.1875,106.3125
0,"808053240352",-0.196533203125,-0.08892822265625,-0.70782470703125,0.67266845703125,-0.06298828125,-1.11279296875,-0.39404296875,-154,-204.0625,87.25
0,"808053262534",-0.23284912109375,-0.0682373046875,-0.7147216796875,0.656005859375,-0.14990234375,-0.98876953125,-0.46484375,-129.3125,-214,76.6875
0,"808053277503",-0.26983642578125,-0.0455322265625,-0.71630859375,0.64190673828125,-0.130859375,-0.9091796875,-0.3974609375,-103.125,-232.25,69.5625
0,"808053300012",-0.30633544921875,-0.02001953125,-0.7130126953125,0.63037109375,0.02490234375,-0.91064453125,-0.35888671875,-79.6875,-248.875,56.125
0,"808053322625",-0.34033203125,0.00836181640625,-0.7032470703125,0.6241455078125,-0.0263671875,-0.79833984375,-0.30322265625,-39.1875,-260.4375,25.3125
0,"808053337917",-0.3729248046875,0.03692626953125,-0.6888427734375,0.62054443359375,-0.01806640625,-0.73486328125,-0.2109375,-13.75,-263.625,13.25
0,"808053360019",-0.404296875,0.06390380859375,-0.6680908203125,0.62139892578125,-0.04638671875,-0.72509765625,-0.10400390625,28.6875,-265.125,4.0625
0,"808053382520",-0.43328857421875,0.08984375,-0.6417236328125,0.62646484375,-0.0322265625,-0.833984375,0.0400390625,65.3125,-263,-11.4375
0,"808053397510",-0.45916748046875,0.1134033203125,-0.6104736328125,0.63531494140625,0.22119140625,-0.80419921875,0.10302734375,100.8125,-251.4375,-22.4375
0,"808053420046",-0.4820556640625,0.13177490234375,-0.580322265625,0.64306640625,-0.05810546875,-1.27880859375,0.30517578125,105,-219.75,-13.125
0,"808053442583",-0.50201416015625,0.14459228515625,-0.54949951171875,0.652099609375,0.54541015625,-0.6171875,0.53515625,118.875,-185.625,-5.5
0,"808053465022",-0.51788330078125,0.156005859375,-0.5234375,0.65838623046875,0.48974609375,-0.6796875,0.6708984375,92.125,-155.375,-5.25
0,"808053479956",-0.53509521484375,0.16314697265625,-0.50225830078125,0.65936279296875,0.49658203125,-0.73828125,0.71826171875,71.9375,-133,33.0625
0,"808053502595",-0.5479736328125,0.17254638671875,-0.48626708984375,0.65838623046875,0.46435546875,-0.60009765625,0.8955078125,7.5,-88.375,49.0625
0,"808053525106",-0.55157470703125,0.18682861328125,-0.48486328125,0.65252685546875,0.17041015625,-0.9091796875,1.1220703125,-89.875,-45.3125,18.8125
0,"808053540231",-0.54638671875,0.22119140625,-0.49371337890625,0.639404296875,-0.18408203125,-1.3837890625,1.02392578125,-189.5,-96.8125,-60.8125
0,"808053562481",-0.55224609375,0.23150634765625,-0.47222900390625,0.6468505859375,0.12744140625,-0.24755859375,1.16650390625,59.75,-106.5625,-55.625
0,"808053584991",-0.55670166015625,0.2305908203125,-0.443359375,0.66357421875,-0.068359375,-0.82470703125,-0.06201171875,168.875,-78.8125,-70.75
0,"808053600451",-0.56707763671875,0.21807861328125,-0.39208984375,0.69073486328125,-0.08056640625,-0.65087890625,-0.35595703125,329.75,-108.5625,-82.3125
0,"808053622553",-0.5794677734375,0.1890869140625,-0.30950927734375,0.7298583984375,0.015625,-0.37841796875,-0.224609375,534.0625,-133.375,-115.8125
0,"808053645049",-0.5916748046875,0.15447998046875,-0.21728515625,0.7608642578125,0.1806640625,0.27099609375,-0.11328125,569,-147.875,-89.4375
0,"808053659958",-0.60174560546875,0.1253662109375,-0.1322021484375,0.77764892578125,0.296875,0.90576171875,0.1318359375,486,-155.25,-49.75
0,"808053692774",-0.60382080078125,0.1248779296875,-0.0848388671875,0.78265380859375,0.2880859375,1.48486328125,0.59326171875,218.1875,-159.25,-41.875
0,"808053705206",-0.5958251953125,0.15631103515625,-0.0806884765625,0.7835693359375,0.36083984375,0.96142578125,0.96142578125,-116.1875,-147.375,-53.4375
0,"808053720008",-0.5802001953125,0.205810546875,-0.10711669921875,0.78070068359375,0.60693359375,-0.076171875,1.13671875,-310.375,-121.875,-56.25
0,"808053742541",-0.56292724609375,0.25177001953125,-0.1365966796875,0.7752685546875,0.64111328125,-1.11669921875,1.2177734375,-303.3125,-99.1875,-51.8125
0,"808053765476",-0.547607421875,0.28509521484375,-0.155029296875,0.771240234375,0.70361328125,-1.67578125,1.1416015625,-202.625,-78.5,-55.625
0,"808053780462",-0.5380859375,0.30517578125,-0.15753173828125,0.76971435546875,0.60546875,-1.60009765625,1.13720703125,-49.6875,-66.625,-60.625
0,"808053802489",-0.5360107421875,0.3123779296875,-0.14044189453125,0.77154541015625,0.490234375,-1.1875,1.06005859375,74.6875,-77.9375,-59.625
0,"808053825074",-0.53790283203125,0.31243896484375,-0.115478515625,0.7744140625,0.5107421875,-0.68994140625,0.984375,116.5,-72.5,-45.0625
0,"808053840127",-0.53912353515625,0.309326171875,-0.092529296875,0.77783203125,0.49658203125,-0.20263671875,0.9521484375,110.6875,-51.375,-41.3125
0,"808053862510",-0.53662109375,0.3070068359375,-0.07574462890625,0.7823486328125,0.4345703125,-0.0791015625,0.93994140625,54.6875,-33.875,-42.375
0,"808053885031",-0.5308837890625,0.31085205078125,-0.0704345703125,0.78521728515625,0.44140625,-0.166015625,0.9208984375,-16.375,-28.125,-36.6875
0,"808053899964",-0.52581787109375,0.31890869140625,-0.069580078125,0.78546142578125,0.4814453125,-0.5595703125,0.81396484375,-24.125,-34,-30
0,"808053922599",-0.52056884765625,0.32647705078125,-0.0703125,0.7857666015625,0.5234375,-0.6796875,0.80224609375,-23.4375,-25.5625,-30.8125
0,"808053944971",-0.51690673828125,0.3289794921875,-0.0703125,0.78717041015625,0.453125,-0.64208984375,0.84814453125,-5.8125,-9.25,-27.5
0,"808053959966",-0.515869140625,0.32879638671875,-0.06732177734375,0.78814697265625,0.39892578125,-0.595703125,0.84130859375,18.375,-10.4375,-19.5625
0,"808053990706",-0.51629638671875,0.3284912109375,-0.06121826171875,0.78851318359375,0.4345703125,-0.5927734375,0.81201171875,36.9375,-18.625,-16.1875
0,"808054005868",-0.51641845703125,0.327392578125,-0.05322265625,0.7894287109375,0.484375,-0.498046875,0.8017578125,43.25,-16.375,-18.5
0,"808054023037",-0.51611328125,0.32537841796875,-0.04620361328125,0.79095458984375,0.43994140625,-0.34814453125,0.79541015625,34.0625,-10.5,-17.25
0,"808054042955",-0.514404296875,0.32489013671875,-0.04217529296875,0.79248046875,0.41552734375,-0.2578125,0.7734375,9.25,-9.1875,-16.625
0,"808054065984",-0.51165771484375,0.32733154296875,-0.04278564453125,0.793212890625,0.4541015625,-0.36083984375,0.7490234375,-16.4375,-7.5,-13.25
0,"808054080017",-0.50933837890625,0.3304443359375,-0.04559326171875,0.79327392578125,0.45654296875,-0.46533203125,0.72509765625,-21.6875,-4.6875,-8.8125
